packet_id,lap_count,total_laps,pos_x,pos_y,pos_z,vx,vy,vz,speed_kmh,rotation_x,rotation_y,rotation_z,orientation,ang_vel_x,yaw_rate,ang_vel_z,body_height,throttle_pct,brake_pct,clutch_pedal,clutch_engagement,wheel_rotation_radians,sway,heave,surge,engine_rpm,boost_pressure,oil_pressure,water_temp,oil_temp,fuel_remaining,fuel_capacity,gear,suggested_gear,trans_rpm,trans_top_speed,gear1,gear2,gear3,gear4,gear5,gear6,gear7,gear8,tyre_temp_fl,tyre_temp_fr,tyre_temp_rl,tyre_temp_rr,tyre_radius_fl,tyre_radius_fr,tyre_radius_rl,tyre_radius_rr,wheel_rad_s_fl,wheel_rad_s_fr,wheel_rad_s_rl,wheel_rad_s_rr,sus_height_fl,sus_height_fr,sus_height_rl,sus_height_rr,best_lap_ms,last_lap_ms,time_of_day_ms,race_start_pos,total_cars,min_alert_rpm,max_alert_rpm,calc_max_speed,car_code,is_on_track,is_paused,is_loading,in_gear,has_turbo,rev_limit,hand_brake_active,asm_active,tcs_active,road_plane_dist,lat_g,lon_g
20698,3,0,-4.8306,19.3926,-189.0988,57.4813,0.007,-45.5459,264.02,0.005846,-0.43521,-0.007386,0.90028,-0.0014,-0.0001,-0.003,0.0324,100.0,0.0,0.0,1.0,0.00119,-0.161488,-0.069291,1.467195,6802.0,1.9815,6.7419,85.0,110.0,100.0,100.0,6,15,6802.0,2.79,2.276,1.755,1.442,1.21,1.021,0.874,0.0,0.0,77.8,73.4,82.7,80.2,0.325,0.325,0.325,0.325,225.6552,225.6552,232.8,232.8,0.2757,0.2758,0.2817,0.2817,100429,100429,23623850,1,2,7500,8000,302,3352,1,0,0,1,1,0,0,0,0,-16.5717,-0.0006,0.1525
20699,3,0,-3.8713,19.3927,-189.8589,57.5009,0.0053,-45.5607,264.1,0.005835,-0.435207,-0.007382,0.900282,-0.001,0.0001,0.001,0.0325,100.0,0.0,0.0,1.0,0.00119,-0.135821,-0.109923,1.436181,6805.0,1.9814,6.7423,85.0,110.0,100.0,100.0,6,15,6805.0,2.79,2.276,1.755,1.442,1.21,1.021,0.874,0.0,0.0,77.8,73.4,82.7,80.2,0.325,0.325,0.325,0.325,225.7307,225.7314,232.8931,232.8931,0.2757,0.276,0.2817,0.2816,100429,100429,23623866,1,2,7500,8000,302,3352,1,0,0,1,1,0,0,0,0,-16.5743,0.0006,0.15
20700,3,0,-2.9116,19.3928,-190.6192,57.5203,0.0039,-45.5755,264.19,0.005835,-0.435209,-0.007367,0.90028,0.0008,0.0,0.0015,0.0325,100.0,0.0,0.0,1.0,0.00119,-0.14674,-0.086148,1.436393,6808.0,1.9813,6.7428,85.0,110.0,100.0,100.0,6,15,6808.0,2.79,2.276,1.755,1.442,1.21,1.021,0.874,0.0,0.0,77.8,73.4,82.7,80.2,0.325,0.325,0.325,0.325,225.8078,225.808,232.9785,232.9785,0.2754,0.2761,0.2816,0.2817,100429,100429,23623883,1,2,7500,8000,302,3352,1,0,0,1,1,0,0,0,0,-16.6133,0.0002,0.1492
20701,3,0,-1.9516,19.3928,-191.3798,57.5397,0.0017,-45.5906,264.28,0.005818,-0.435207,-0.007285,0.900282,0.0024,0.0,0.0098,0.0323,100.0,0.0,0.0,1.0,0.00119,-0.153532,-0.135521,1.446341,6810.0,1.9811,6.7433,85.0,110.0,100.0,100.0,6,15,6810.0,2.79,2.276,1.755,1.442,1.21,1.021,0.874,0.0,0.0,77.8,73.4,82.7,80.2,0.325,0.325,0.325,0.325,225.8852,225.8852,233.0525,233.0525,0.2756,0.2761,0.2817,0.2818,100429,100429,23623900,1,2,7500,8000,302,3352,1,0,0,1,1,0,0,0,0,-16.6241,0.0002,0.1502
20702,3,0,-0.9913,19.3928,-192.1406,57.5587,0.0018,-45.6064,264.37,0.005828,-0.43521,-0.007197,0.900282,0.0056,0.0003,0.0089,0.0323,100.0,0.0,0.0,1.0,0.001785,-0.204964,-0.00574,1.451435,6812.0,1.981,6.7437,85.0,110.0,100.0,100.0,6,15,6812.0,2.79,2.276,1.755,1.442,1.21,1.021,0.874,0.0,0.0,77.8,73.4,82.7,80.2,0.325,0.325,0.325,0.325,225.9639,225.9648,233.1154,233.1154,0.2756,0.2761,0.2816,0.282,100429,100429,23623916,1,2,7500,8000,302,3352,1,0,0,1,1,0,0,0,0,-16.6578,0.002,0.1509
20703,3,0,-0.0307,19.3928,-192.9017,57.5777,0.0008,-45.6219,264.46,0.005828,-0.435205,-0.007074,0.900285,0.0065,0.0005,0.0133,0.0322,100.0,0.0,0.0,1.0,0.001785,-0.196626,-0.065772,1.447216,6813.0,1.981,6.7442,85.0,110.0,100.0,100.0,6,15,6813.0,2.79,2.276,1.755,1.442,1.21,1.021,0.874,0.0,0.0,77.8,73.4,82.7,80.2,0.325,0.325,0.325,0.325,226.0395,226.0416,233.1803,233.1803,0.2756,0.2758,0.2821,0.2821,100429,100429,23623933,1,2,7500,8000,302,3352,1,0,0,1,1,0,0,0,0,-16.6725,0.004,0.1499
20704,3,0,0.9303,19.3928,-193.6631,57.5972,0.0011,-45.6381,264.55,0.005822,-0.435205,-0.007005,0.900285,0.0029,0.0005,0.0077,0.0321,100.0,0.0,0.0,1.0,0.001785,-0.206306,0.014614,1.502073,6814.0,1.9809,6.7447,85.0,110.0,100.0,100.0,6,15,6814.0,2.79,2.276,1.755,1.442,1.21,1.021,0.874,0.0,0.0,77.8,73.4,82.7,80.2,0.325,0.325,0.325,0.325,226.1142,226.1161,233.2094,233.2094,0.2755,0.276,0.2821,0.2822,100429,100429,23623950,1,2,7500,8000,302,3352,1,0,0,1,1,0,0,0,0,-16.7036,0.0035,0.1555
20705,3,0,1.8916,19.3929,-194.4247,57.6167,0.0036,-45.6537,264.64,0.005795,-0.4352,-0.006911,0.900289,0.002,0.0005,0.0116,0.0322,100.0,0.0,0.0,1.0,0.001785,-0.184753,0.140187,1.470176,6815.0,1.981,6.7451,85.0,110.0,100.0,100.0,6,15,6815.0,2.79,2.276,1.755,1.442,1.21,1.021,0.874,0.0,0.0,77.8,73.4,82.7,80.2,0.325,0.325,0.325,0.325,226.1901,226.1922,233.2702,233.2702,0.2755,0.2758,0.2822,0.2821,100429,100429,23623966,1,2,7500,8000,302,3352,1,0,0,1,1,0,0,0,0,-16.7093,0.0036,0.1528
20706,3,0,2.8531,19.393,-195.1866,57.6358,0.0036,-45.6695,264.73,0.00577,-0.435199,-0.00687,0.900289,-0.0006,0.0004,0.0057,0.0322,100.0,0.0,0.0,1.0,0.001785,-0.201065,-0.004854,1.460434,6818.0,1.9811,6.7456,85.0,110.0,100.0,100.0,6,15,6818.0,2.79,2.276,1.755,1.442,1.21,1.021,0.874,0.0,0.0,77.8,73.4,82.7,80.2,0.325,0.325,0.325,0.325,226.2635,226.2655,233.351,233.351,0.2755,0.2758,0.2822,0.2824,100429,100429,23623983,1,2,7500,8000,302,3352,1,0,0,1,1,0,0,0,0,-16.7561,0.0029,0.1514
20707,3,0,3.815,19.3931,-195.9488,57.6555,0.0055,-45.6855,264.82,0.005709,-0.435192,-0.00681,0.900294,-0.0034,0.0006,0.0097,0.0325,100.0,0.0,0.0,1.0,0.001785,-0.189265,0.104677,1.490974,6820.0,1.9811,6.746,85.0,110.0,100.0,100.0,6,15,6820.0,2.79,2.276,1.755,1.442,1.21,1.021,0.874,0.0,0.0,77.8,73.4,82.7,80.2,0.325,0.325,0.325,0.325,226.3383,226.3413,233.4123,233.4123,0.2752,0.2754,0.2821,0.2821,100429,100429,23624000,1,2,7500,8000,302,3352,1,0,0,1,1,0,0,0,0,-16.7758,0.0041,0.1552
